dof_id,euring_id,species_euring_id,latin,common,type,iucn,iba_amnt,times_seen,breeding_status,last_confirmed_breeding,invasive,Atlas_III_squares_with_breeding,use_in_analysis
3,00020,00020,Gavia stellata,Red-throated Loon,species,LC,3000,24,NA,NA,NA,NA,0
5,00030,00030,Gavia arctica,Black-throated Loon,species,LC,3500,38,NA,NA,NA,NA,0
13,00070,00070,Tachybaptus ruficollis,Little Grebe,species,LC,4700,1716,Regular,2017,NA,812,1
18,00090,00090,Podiceps cristatus,Great Crested Grebe,species,LC,6300,5763,Regular,2017,NA,489,1
20,00100,00100,Podiceps grisegena,Red-necked Grebe,species,LC,500,1799,Regular,2017,NA,657,1
23,00110,00110,Podiceps auritus,Horned Grebe,species,VU,50,17,Regionally extinct,2006,NA,1,1
25,00120,00120,Podiceps nigricollis,Black-necked Grebe,species,LC,1800,81,Regular,2017,NA,48,1
30,00140,00140,Thalassarche melanophris,Black-browed Albatross,species,NT,NA,1,NA,NA,NA,NA,0
139,00710,00710,Morus bassanus,Northern Gannet,species,LC,NA,11,NA,NA,NA,NA,0
143,00720,00720,Phalacrocorax carbo,Great Cormorant,species,LC,6200,14367,Regular,2017,NA,109,1
158,00800,00800,Phalacrocorax aristotelis,European Shag,species,LC,NA,11,NA,NA,NA,NA,0
183,00950,00950,Botaurus stellaris,Eurasian Bittern,species,LC,80,464,Regular,2017,NA,206,1
218,01190,01190,Egretta garzetta,Little Egret,species,LC,1100,2,NA,NA,NA,NA,0
222,01210,01210,Ardea alba,Great Egret,species,LC,780,88,Occasional,2016,NA,3,1
227,01220,01220,Ardea cinerea,Grey Heron,species,LC,5000,19008,NA,NA,NA,290,1
244,01310,01310,Ciconia nigra,Black Stork,species,LC,310,4,Regionally extinct,1983-86,NA,0,1
247,01340,01340,Ciconia ciconia,White Stork,species,LC,5200,34,Regular,2017,NA,3,1
263,01440,01440,Platalea leucorodia,Eurasian Spoonbill,species,LC,160,53,Regular,2017,NA,14,1
284,01520,01520,Cygnus olor,Mute Swan,species,LC,2000,16228,Regular,2017,NA,1175,1
285,01525,01525,Cygnus atratus,Black Swan,species,LC,NA,1,NA,NA,NA,NA,0
286,01530,01530,Cygnus columbianus,Tundra Swan,species,LC,220,165,NA,NA,NA,NA,0
290,01540,01540,Cygnus cygnus,Whooper Swan,species,LC,1200,6312,Regular,2017,NA,11,1
293,01560,01560,Anser cygnoides,Swan Goose,species,VU,NA,3,NA,NA,NA,NA,0
295,01571,01571,Anser fabalis,Taiga Bean Goose,species,LC,520,8,NA,NA,NA,NA,0
298,01574,01574,Anser serrirostris,Tundra Bean Goose,species,LC,5500,5,NA,NA,NA,NA,0
301,01580,01580,Anser brachyrhynchus,Pink-footed Goose,species,LC,860,724,NA,NA,NA,NA,0
302,01590,01590,Anser albifrons,Greater White-fronted Goose,species,LC,12000,260,NA,NA,NA,NA,0
306,01600,01600,Anser erythropus,Lesser White-fronted Goose,species,VU,1,1,NA,NA,NA,NA,0
307,01610,01610,Anser anser,Greylag Goose,species,LC,9600,10486,Regular,2017,NA,1115,1
311,01620,01620,Anser indicus,Bar-headed Goose,species,LC,NA,5,NA,NA,NA,NA,0
312,01630,01630,Anser caerulescens,Snow Goose,species,LC,NA,1,NA,NA,NA,1,1
321,01660,01660,Branta canadensis,Canada Goose,species,LC,NA,1062,Regular,2017,1,20,1
328,01670,01670,Branta leucopsis,Barnacle Goose,species,LC,12000,1284,Regular,2017,NA,20,1
330,01680,01680,Branta bernicla,Brant Goose,species,LC,2200,305,NA,NA,NA,NA,0
