rid,oid,season,firstdate,firsttime,lastyear,lon,lat
1,1862,V,1977-01-01T23:00:00Z,10:15:00,2016,10.0197887,57.1374852
2,1773,V,1982-12-28T23:00:00Z,11:25:00,1997,10.2727628444353,57.151779071995
3,1989,V,1984-01-07T23:00:00Z,08:57:00,2006,9.98680071597487,56.965691097099
4,1989,V,1983-12-28T23:00:00Z,08:42:00,2006,9.98727589867864,56.9836554797169
5,46,Y,1980-06-04T22:00:00Z,03:45:00,2020,10.0362668,57.1308157
6,1989,V,1984-12-27T23:00:00Z,09:15:00,2003,9.98751369801583,56.9926376505899
7,1937,Y,1982-05-19T22:00:00Z,05:45:00,2020,10.4651907751946,57.4192083134268
8,2219,Y,1983-06-10T22:00:00Z,07:44:00,1993,10.1308936576979,57.3777337847309
9,1160,V,1985-12-25T23:00:00Z,12:18:00,1995,10.2743072951785,57.1966841556834
10,46,Y,1984-06-06T22:00:00Z,20:30:00,2015,10.1091459113958,57.097631340758
11,15,V,1986-12-31T23:00:00Z,09:30:00,1995,9.9667282,57.4420303
12,1989,Y,1984-05-20T22:00:00Z,07:33:00,2008,9.98727589867864,56.9836554797169
13,1989,Y,1984-06-01T22:00:00Z,04:45:00,2006,10.0032445549557,56.9655603120666
14,1989,Y,1984-06-08T22:00:00Z,04:51:00,2003,9.981763,56.9814145
15,1930,Y,1984-06-10T22:00:00Z,06:00:00,1991,9.98727589867864,56.9836554797169
16,2116,V,1988-01-18T23:00:00Z,08:45:00,1990,9.81118770912553,57.2095136849239
17,1989,V,1988-12-25T23:00:00Z,08:33:00,2005,9.90984485622962,55.8252041820535
18,55,V,1989-01-16T23:00:00Z,09:00:00,1991,10.4532981,57.4733978
19,1805,V,1990-01-19T23:00:00Z,10:00:00,1994,10.0078568486036,57.1362188962992
20,1320,V,1990-01-06T23:00:00Z,10:00:00,2015,10.4015636,57.5046081
21,2149,Y,1985-05-17T22:00:00Z,07:30:00,1999,10.5151208738792,57.4186177938156
22,2058,V,1990-01-01T23:00:00Z,09:30:00,2002,10.4955497411941,57.3469778783905
23,2151,V,1990-01-13T23:00:00Z,09:30:00,1990,9.96456278028999,57.186868428683
24,74,V,1990-12-31T23:00:00Z,10:55:00,1991,9.98727589867864,56.9836554797169
25,1918,V,1991-01-12T23:00:00Z,09:30:00,1990,9.78322490350365,57.4522419345381
26,2027,V,1991-01-18T23:00:00Z,09:20:00,1992,10.0499580414705,57.397300102118
27,8,V,1992-01-13T23:00:00Z,09:20:00,1993,9.91273372872045,56.896177805208
28,1160,Y,1987-05-29T22:00:00Z,05:20:00,1994,10.2727764067127,57.200293330666
29,428,V,1991-12-26T23:00:00Z,09:10:00,1993,10.9147036921572,57.2577362953402
