tid,rid,date,year,start_time,end_time,birds_seen,points_surveyed
1,1217,1976-05-19T22:00:00Z,1976,00:00:00,00:00:00,140,20
2,1218,1976-06-08T22:00:00Z,1976,18:46:00,18:46:00,208,20
3,1219,1976-05-31T22:00:00Z,1976,18:15:00,18:15:00,191,20
4,1220,1976-05-31T22:00:00Z,1976,05:45:00,05:45:00,122,20
5,1220,1977-06-04T22:00:00Z,1977,05:30:00,05:30:00,108,20
6,1221,1976-05-28T22:00:00Z,1976,03:36:00,03:36:00,166,20
7,1221,1977-05-28T22:00:00Z,1977,03:20:00,03:20:00,129,20
8,1222,1976-06-11T22:00:00Z,1976,07:00:00,07:00:00,127,20
9,1222,1977-06-12T22:00:00Z,1977,06:45:00,06:45:00,137,20
10,1223,1976-06-19T22:00:00Z,1976,08:30:00,08:30:00,208,20
11,1223,1977-06-25T22:00:00Z,1977,08:45:00,08:45:00,119,20
12,1224,1977-06-08T22:00:00Z,1977,06:30:00,06:30:00,151,20
13,1224,1978-06-04T22:00:00Z,1978,06:30:00,06:30:00,143,20
14,1224,1979-06-04T22:00:00Z,1979,06:30:00,06:30:00,145,20
15,1224,1980-06-09T22:00:00Z,1980,07:30:00,07:30:00,149,20
16,1224,1981-06-06T22:00:00Z,1981,07:00:00,07:00:00,107,19
17,1224,1982-06-05T22:00:00Z,1982,07:00:00,07:00:00,107,20
18,1224,1983-06-04T22:00:00Z,1983,06:30:00,06:30:00,111,20
19,1224,1984-06-09T22:00:00Z,1984,06:30:00,06:30:00,115,20
20,1224,1985-05-31T22:00:00Z,1985,06:30:00,06:30:00,104,20
21,1224,1986-06-06T22:00:00Z,1986,06:30:00,10:00:00,86,20
22,1224,1987-06-04T22:00:00Z,1987,07:00:00,10:30:00,77,18
23,1224,1988-06-03T22:00:00Z,1988,07:00:00,10:30:00,117,20
24,1224,1989-06-03T22:00:00Z,1989,07:00:00,10:30:00,108,20
25,1224,1990-06-02T22:00:00Z,1990,07:00:00,10:30:00,117,20
26,1224,1991-06-01T22:00:00Z,1991,07:00:00,10:30:00,103,20
27,1224,1993-06-04T22:00:00Z,1993,07:00:00,10:30:00,106,20
28,1225,1977-06-15T22:00:00Z,1977,05:30:00,05:30:00,217,20
29,1225,1978-06-17T22:00:00Z,1978,05:30:00,05:30:00,223,20
30,1226,1977-06-12T22:00:00Z,1977,03:55:00,03:55:00,145,20
31,1226,1978-06-13T22:00:00Z,1978,03:50:00,03:50:00,147,20
32,1226,1979-06-15T22:00:00Z,1979,03:55:00,03:55:00,153,20
33,1226,1980-06-17T22:00:00Z,1980,04:55:00,04:55:00,134,20
