"id"	"old_artnr"	"artnr"	"overartnr"	"artnavn"	"latin"	"english"	"dk"	"datsy"	"arttype"	"sortering"	"hbw"	"iucn"	"redlist"	"yellowlist"	"bilag_1"	"spec"	"KOORDINATORID"	"sv"	"pkt"	"ibaantal"	"shortcut1"	"shortcut2"	"fra"	"til"	"season"	"vis"
3	"00020"	"00020"	"00020"	"Rødstrubet Lom"	"Gavia stellata"	"Red-throated Loon"	"A"	0	"art"	1850	NA	"LC"	NA	"AT"	"X"	NA	NA	NA	NA	3000	"RØDLOM"	"RL"	NA	NA	NA	0
4	"00025"	"00029"	NA	"Rødstrubet Lom/Sortstrubet Lom"	"Gavia stellata/G. arctica"	"Red-throated Loon/Black-throated Loon"	"H"	0	"ubestemt"	1860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"S SMÅL"	"S SMÅL"	NA	NA	NA	0
5	"00030"	"00030"	"00030"	"Sortstrubet Lom"	"Gavia arctica"	"Black-throated Loon"	"A"	0	"art"	1870	NA	"LC"	NA	NA	"X"	NA	NA	NA	NA	3500	"SORLOM"	"SL"	""	""	""	0
8	"00040"	"00040"	"00040"	"Islom"	"Gavia immer"	"Common Loon"	"AS"	0	"art"	1880	NA	"LC"	NA	NA	"X"	NA	NA	NA	NA	50	"ISLOM"	"IL"	NA	NA	NA	0
9	"00045"	"00049"	NA	"Islom/Hvidnæbbet Lom"	"Gavia immer/G. adamsii"	"Common Loon/Yellow-billed Loon"	"H"	0	"ubestemt"	1890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"S STLO"	"S STLO"	NA	NA	NA	0
10	"00050"	"00050"	"00050"	"Hvidnæbbet Lom"	"Gavia adamsii"	"Yellow-billed Loon"	"AS"	0	"art"	1900	NA	"NT"	NA	NA	NA	NA	NA	NA	NA	30	"HVILOM"	"HL"	NA	NA	NA	0
11	"00059"	"00059"	NA	"Lom sp."	"Gaviidae"	"Loon sp."	"H"	0	"ubestemt"	1910	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"S LOM"	"S LOM"	NA	NA	NA	0
13	"00070"	"00070"	"00070"	"Lille Lappedykker"	"Tachybaptus ruficollis"	"Little Grebe"	"A"	0	"art"	1370	52477	"LC"	"LC"	NA	NA	NA	NA	NA	NA	4700	"LILLAP"	"LL"	NA	NA	NA	0
18	"00090"	"00090"	"00090"	"Toppet Lappedykker"	"Podiceps cristatus"	"Great Crested Grebe"	"A"	0	"art"	1390	52489	"LC"	"VU"	NA	NA	NA	NA	NA	"YV"	6300	"TOPLAP"	"TL"	NA	NA	NA	0
19	"00095"	"00099"	NA	"Toppet Lappedykker/Gråstrubet Lappedykker"	"Podiceps cristatus/P. grisegena"	"Great Crested Grebe/Red-necked Grebe"	"H"	0	"ubestemt"	1400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"S TOGR"	"S TOGR"	NA	NA	NA	0
20	"00100"	"00100"	"00100"	"Gråstrubet Lappedykker"	"Podiceps grisegena"	"Red-necked Grebe"	"A"	0	"art"	1380	NA	"LC"	"LC"	"AT"	NA	NA	NA	NA	"YV"	500	"GRÅLAP"	"GL"	NA	NA	NA	0
23	"00110"	"00110"	"00110"	"Nordisk Lappedykker"	"Podiceps auritus"	"Horned Grebe"	"A"	1	"art"	1410	NA	"VU"	"RE"	NA	"X"	NA	NA	NA	NA	50	"NORLAP"	"NL"	"6"	"9"	"S"	0
24	"00121"	"00119"	NA	"Nordisk Lappedykker/Sorthalset Lappedykker"	"Podiceps auritus/P. nigricollis"	"Horned Grebe/Black-necked Grebe"	"H"	0	"ubestemt"	1420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"S NOSO"	"S NOSO"	NA	NA	NA	0
25	"00120"	"00120"	"00120"	"Sorthalset Lappedykker"	"Podiceps nigricollis"	"Black-necked Grebe"	"A"	0	"art"	1430	52491	"LC"	"VU"	NA	NA	NA	NA	NA	NA	1800	"SORLAP"	"SHL"	"4"	"9"	"V"	0
29	"00122"	"00139"	NA	"Lappedykker sp."	"Podicipedidae"	"Grebe sp."	"H"	0	"ubestemt"	1440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"S LAPP"	"S LAPP"	NA	NA	NA	0
30	"00140"	"00140"	"00140"	"Sortbrynet Albatros"	"Thalassarche melanophris"	"Black-browed Albatross"	"AU"	0	"art"	1920	NA	"NT"	NA	NA	NA	NA	NA	NA	NA	NA	"SORALB"	"SORALB"	NA	NA	NA	0
42	"00202"	"00209"	NA	"Albatros sp."	"Diomedeidae"	"Albatross sp."	"HU"	0	"ubestemt"	1930	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"S ALBA"	"S ALBA"	NA	NA	NA	0
45	"00220"	"00220"	"00220"	"Mallemuk"	"Fulmarus glacialis"	"Northern Fulmar"	"A"	1	"art"	1970	NA	"LC"	"NA"	NA	NA	NA	0	NA	NA	NA	"MALLEM"	"MAL"	NA	NA	NA	0
71	"00360"	"00360"	NA	"Atlantisk Skråpe/Scopolis Skråpe"	"Calonectris borealis/C. diomedea"	"Cory's Shearwater/Scopolis Shearwater"	"HU"	0	"ubestemt"	2020	NA	"LC"	NA	NA	"X"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
75	"00365"	"00369"	NA	"Atlantisk/Scopolis/Storskråpe"	"Calonectris borealis/C. diomedea/Puffinus gravis"	"Cory's/Scopolis/Great Shearwater"	"HU"	0	"ubestemt"	2030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"S KUST"	"S KUST"	NA	NA	NA	0
79	"00400"	"00400"	"00400"	"Storskråpe"	"Ardenna gravis"	"Great Shearwater"	"AU"	0	"art"	2000	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	"STORSK"	"STORSK"	NA	NA	NA	0
82	"00430"	"00430"	"00430"	"Sodfarvet Skråpe"	"Ardenna grisea"	"Sooty Shearwater"	"AS"	0	"art"	1990	NA	"NT"	NA	NA	NA	NA	NA	NA	NA	NA	"SODSKR"	"SODSKR"	"8"	"11"	"V"	0
85	"00463"	"00455"	"00455"	"Balearskråpe"	"Puffinus mauretanicus"	"Balearic Shearwater"	"AU"	0	"art"	2070	NA	"CR"	NA	NA	NA	NA	NA	NA	NA	NA	"BALEAR"	"BALEAR"	NA	NA	NA	0
86	"00460"	"00460"	"00460"	"Almindelig Skråpe"	"Puffinus puffinus"	"Manx Shearwater"	"AS"	0	"art"	2040	NA	"LC"	NA	NA	"X"	NA	NA	NA	NA	NA	"ALMSKR"	"ALMSKR"	"6"	"9"	"V"	0
90	"00480"	"00480"	"00480"	"Lille Skråpe"	"Puffinus baroli"	"Barolo Shearwater"	"U"	0	"art"	2080	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	"LISKRÅ"	"LISKRÅ"	NA	NA	NA	0
98	"00465"	"00499"	NA	"Skråpe sp."	"Procellariidae"	"Shearwater sp."	"H"	0	"ubestemt"	2090	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"S PESK"	"S PESK"	NA	NA	NA	0
107	"00520"	"00520"	"00520"	"Lille Stormsvale"	"Hydrobates pelagicus"	"European Storm Petrel"	"AS"	0	"art"	1940	NA	"LC"	NA	NA	"X"	NA	NA	NA	NA	NA	"LILSTO"	"LILSTO"	NA	NA	NA	0
112	"00550"	"00550"	"00550"	"Stor Stormsvale"	"Oceanodroma leucorhoa"	"Leach's Storm Petrel"	"AS"	0	"art"	1950	NA	"LC"	NA	NA	"X"	NA	NA	NA	NA	NA	"STOSTO"	"STOSTO"	"9"	"11"	"V"	0
123	"00525"	"00639"	NA	"Stormsvale sp."	"Hydrobatidae"	"Storm Petrel sp."	"H"	0	"ubestemt"	1960	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"S STSV"	"S STSV"	NA	NA	NA	0
139	"00710"	"00710"	"00710"	"Sule"	"Morus bassanus"	"Northern Gannet"	"A"	0	"art"	2330	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	"SULE"	"SULE"	NA	NA	NA	0
143	"00720"	"00720"	"00720"	"Skarv"	"Phalacrocorax carbo"	"Great Cormorant"	"A"	0	"art"	2350	52629	"LC"	"LC"	NA	NA	NA	NA	NA	"YV"	6200	"SKARV"	"SKARV"	NA	NA	NA	0
144	"00721"	"00721"	"00720"	"Skarv, Storskarv (ssp. carbo)"	"Phalacrocorax carbo carbo"	"Great Cormorant (ssp. carbo)"	"A"	0	"underart"	2360	NA	"LC"	"LC"	NA	NA	NA	NA	NA	NA	1200	"R CARB"	"R CARB"	NA	NA	NA	0
145	"00722"	"00722"	"00720"	"Skarv, Mellemskarv (ssp. sinensis)"	"Phalacrocorax carbo sinensis"	"Great Cormorant (ssp. sinensis)"	"A"	0	"underart"	2370	NA	"LC"	"LC"	"AY/AT"	NA	NA	NA	NA	NA	6200	"R SINE"	"R SINE"	NA	NA	NA	0
158	"00800"	"00800"	"00800"	"Topskarv"	"Phalacrocorax aristotelis"	"European Shag"	"AS"	0	"art"	2340	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	"TSKARV"	"TSKARV"	NA	NA	NA	0
173	"00880"	"00880"	"00880"	"Hvid Pelikan"	"Pelecanus onocrotalus"	"Great White Pelican"	"DU"	0	"art"	2130	52610	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	"HVIPEL"	"HVIPEL"	NA	NA	NA	0
175	"00890"	"00890"	"00890"	"Krøltoppet Pelikan"	"Pelecanus crispus"	"Dalmatian Pelican"	"AU"	0	"art"	2150	52613	"VU"	NA	NA	NA	NA	NA	NA	NA	NA	"KRØPEL"	"KRØPEL"	NA	NA	NA	0
176	"00900"	"00900"	"00900"	"Rosapelikan"	"Pelecanus rufescens"	"Pink-backed Pelican"	"E"	0	"art"	2140	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	"RØDPEL"	"RØDPEL"	NA	NA	NA	0
178	"00911"	"00919"	NA	"Pelikan sp."	"Pelecanidae"	"Pelican sp."	"HU"	0	"ubestemt"	2160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"S PELI"	"S PELI"	NA	NA	NA	0
180	"00930"	"00930"	"00930"	"Pragtfregatfugl"	"Fregata magnificens"	"Magnificent Frigatebird"	"AU"	0	"art"	2320	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	"AMEFRE"	"AMEFRE"	NA	NA	NA	0
183	"00950"	"00950"	"00950"	"Rørdrum"	"Botaurus stellaris"	"Eurasian Bittern"	"A"	1	"art"	2170	52730	"LC"	"VU"	NA	"X"	"3"	NA	NA	"YV"	80	"RØRDRU"	"RØRDRU"	NA	NA	NA	0
185	"00960"	"00960"	"00960"	"Amerikansk Rørdrum"	"Botaurus lentiginosus"	"American Bittern"	"AU"	0	"art"	2180	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	"AMERØR"	"AMERØR"	NA	NA	NA	0
187	"00980"	"00980"	"00980"	"Dværghejre"	"Ixobrychus minutus"	"Little Bittern"	"AU"	0	"art"	2190	NA	"LC"	NA	NA	"X"	"3"	NA	NA	NA	NA	"DVÆHEJ"	"DVÆHEJ"	NA	NA	NA	0
196	"01040"	"01040"	"01040"	"Nathejre"	"Nycticorax nycticorax"	"Black-crowned Night Heron"	"AU"	0	"art"	2200	NA	"LC"	NA	NA	"X"	NA	NA	NA	NA	NA	"NATHEJ"	"NATHEJ"	NA	NA	NA	0
